,BioProject,Library Name,tissue,Run,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,BioProject,Library Name,tissue,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,BioSampleModel,Cultivar,dev_stage,isolate,Age,Ecotype,replicate,treatment,phenotype,Biomaterial_provider,disease_stage,disease,Collection_date,isolation_source,sample_type,Genotype,GEO_Accession (exp),source_name,sub_species,strain,time_cultured,tissue_type,symbiont,growth_protocol,AssemblyName,sample_name,is_reference,specific_host,collected_by,Host,biological_repeats,Developmental_stage,temp,variety,quality_book_char (run),library_selection (exp)
"PRJNA508223: PacBio: To improve peanut seed germination, a comprehensive full-length transcriptome dataset was generated using mixed RNA sample during A. hypogaea seed germination",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA430760,F04,seedling,SRR8334349,RNA-Seq,1521,22751704021,SAMN10587434,5804824020,HENAN AGRICULTURAL UNIVERSITY,public,"sra,bam","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX5145867,Sequel,SINGLE,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,PACBIO_SMRT,2019-06-01T00:00:00Z,A.hypogaea-8107,SRP133797,PRJNA430760,F04,seedling,uncalculated,uncalculated,missing,Plant,A.hypogaea-8107,not collected,not collected,not collected,not collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRJNA49471: Assembled from ESTs available is dbEST and 454 reads available in SRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA49471,Tifrunner,,SRR042421,EST,561,241208120,SAMN00012339,537034672,UNIVERSITY OF GEORGIA,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX020014,454 GS FLX Titanium,SINGLE,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,LS454,2010-05-07T00:00:00Z,Tifrunner,SRP002404,PRJNA49471,Tifrunner,,,,,,,,,,,,,,,,,,,,,,,,Tifrunner,,,,,,,,,,,,,,,,
,PRJNA49471,Tifrunner,,SRR042422,EST,552,271822833,SAMN00012339,609292922,UNIVERSITY OF GEORGIA,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX020014,454 GS FLX Titanium,SINGLE,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,LS454,2010-05-07T00:00:00Z,Tifrunner,SRP002404,PRJNA49471,Tifrunner,,,,,,,,,,,,,,,,,,,,,,,,Tifrunner,,,,,,,,,,,,,,,,
,PRJNA286040,Peanut_454,leaves,SRR2054647,EST,253,73207274,SAMN03764410,158387131,UNIVERSITY OF FLORIDA,public,"sff,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1052063,454 GS FLX+,SINGLE,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,LS454,2015-06-08T00:00:00Z,Peanut_454,SRP059216,PRJNA286040,Peanut_454,leaves,USA,North America,USA,Plant,Georgia Green and C7616,,,10-50 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRJNA602777: In order to identify the key candidate genes related to peanut cold tolerance, a comparative transcriptomic analysis of cold-tolerant peanut cultivar and cold-sensitive peanut cultivar was carried out.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA602777,S0-1,Leaf,SRR10958806,RNA-Seq,297,5971529812,SAMN13907356,1902950717,SHENYANG AGRICULTURAL UNIVERSITY,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7624922,Illumina HiSeq 2500,PAIRED,RANDOM,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2020-01-24T00:00:00Z,S0-1,SRP244390,PRJNA602777,S0-1,Leaf,China,Asia,China,Plant,FH18,Seedling Stage,The first biological repetition of 0-h cold treatment in FH18,two weeks after emergrnce,cold-sensitive variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
